,referenceTime,sourceId
404,2020-12-01T00:00:00.000Z,SN61420:0
405,2020-12-01T00:00:00.000Z,SN43530:0
406,2020-12-01T00:00:00.000Z,SN17000:0
407,2020-12-01T00:00:00.000Z,SN2980:0
408,2020-12-01T00:00:00.000Z,SN35090:0
409,2020-12-01T00:00:00.000Z,SN84920:0
410,2020-12-01T00:00:00.000Z,SN17380:0
411,2020-12-01T00:00:00.000Z,SN26594:0
412,2020-12-01T00:00:00.000Z,SN58390:0
413,2020-12-01T00:00:00.000Z,SN26630:0
414,2020-12-01T00:00:00.000Z,SN44080:0
415,2020-12-01T00:00:00.000Z,SN64760:0
416,2020-12-01T00:00:00.000Z,SN98790:0
417,2020-12-01T00:00:00.000Z,SN12320:0
418,2020-12-01T00:00:00.000Z,SN53680:0
419,2020-12-19T00:00:00.000Z,SN18690:0
420,2020-12-01T00:00:00.000Z,SN24710:0
421,2020-12-01T00:00:00.000Z,SN91505:0
422,2020-12-01T00:00:00.000Z,SN94430:0
423,2020-12-01T00:00:00.000Z,SN60247:0
424,2020-12-02T00:00:00.000Z,SN12580:0
425,2020-12-01T00:00:00.000Z,SN46610:0
426,2020-12-01T00:00:00.000Z,SN31080:0
427,2020-12-01T00:00:00.000Z,SN87970:0
428,2020-12-01T00:00:00.000Z,SN81340:0
429,2020-12-01T00:00:00.000Z,SN25580:0
430,2020-12-01T00:00:00.000Z,SN76926:0
431,2020-12-01T00:00:00.000Z,SN18645:0
432,2020-12-01T00:00:00.000Z,SN26872:0
433,2020-12-01T00:00:00.000Z,SN53070:0
434,2020-12-01T00:00:00.000Z,SN65370:0
435,2020-12-01T00:00:00.000Z,SN80102:0
436,2020-12-01T00:00:00.000Z,SN47220:0
437,2020-12-01T00:00:00.000Z,SN18205:0
438,2020-12-01T00:00:00.000Z,SN4200:0
439,2020-12-01T00:00:00.000Z,SN60310:0
440,2020-12-01T00:00:00.000Z,SN42160:0
441,2020-12-01T00:00:00.000Z,SN34130:0
442,2020-12-01T00:00:00.000Z,SN27500:0
443,2020-12-01T00:00:00.000Z,SN68860:0
444,2020-12-01T00:00:00.000Z,SN80730:0
445,2020-12-01T00:00:00.000Z,SN60400:0
446,2020-12-01T00:00:00.000Z,SN89980:0
447,2020-12-01T00:00:00.000Z,SN27590:0
448,2020-12-01T00:00:00.000Z,SN27285:0
449,2020-12-01T00:00:00.000Z,SN77850:0
450,2020-12-01T00:00:00.000Z,SN100:0
451,2020-12-01T00:00:00.000Z,SN60947:0
452,2020-12-01T00:00:00.000Z,SN49490:0
453,2020-12-01T00:00:00.000Z,SN85440:0
454,2020-12-01T00:00:00.000Z,SN58480:0
455,2020-12-01T00:00:00.000Z,SN50450:0
456,2020-12-01T00:00:00.000Z,SN41550:0
457,2020-12-01T00:00:00.000Z,SN82560:0
458,2020-12-01T00:00:00.000Z,SN36490:0
459,2020-12-01T00:00:00.000Z,SN50540:0
460,2020-12-01T00:00:00.000Z,SN52415:0
461,2020-12-01T00:00:00.000Z,SN30380:0
462,2020-12-01T00:00:00.000Z,SN18950:0
463,2020-12-01T00:00:00.000Z,SN20520:0
464,2020-12-01T00:00:00.000Z,SN65451:0
465,2020-12-01T00:00:00.000Z,SN57789:0
466,2020-12-01T00:00:00.000Z,SN44780:0
467,2020-12-01T00:00:00.000Z,SN92860:0
468,2020-12-01T00:00:00.000Z,SN83960:0
469,2020-12-01T00:00:00.000Z,SN25320:0
470,2020-12-01T00:00:00.000Z,SN17640:0
471,2020-12-01T00:00:00.000Z,SN47600:0
472,2020-12-01T00:00:00.000Z,SN56850:0
473,2020-12-01T00:00:00.000Z,SN30320:0
474,2020-12-01T00:00:00.000Z,SN52400:0
475,2020-12-01T00:00:00.000Z,SN13390:0
476,2020-12-01T00:00:00.000Z,SN88628:0
477,2020-12-01T00:00:00.000Z,SN48120:0
478,2020-12-01T00:00:00.000Z,SN66620:0
479,2020-12-01T00:00:00.000Z,SN58770:0
480,2020-12-01T00:00:00.000Z,SN19760:0
481,2020-12-01T00:00:00.000Z,SN30410:0
482,2020-12-01T00:00:00.000Z,SN19428:0
483,2020-12-01T00:00:00.000Z,SN28750:0
484,2020-12-01T00:00:00.000Z,SN30275:0
485,2020-12-01T00:00:00.000Z,SN79764:0
486,2020-12-01T00:00:00.000Z,SN16620:0
487,2020-12-01T00:00:00.000Z,SN69150:0
488,2020-12-01T00:00:00.000Z,SN64700:0
489,2020-12-01T00:00:00.000Z,SN15660:0
490,2020-12-01T00:00:00.000Z,SN85380:0
491,2020-12-01T00:00:00.000Z,SN76920:0
492,2020-12-01T00:00:00.000Z,SN9380:0
493,2020-12-01T00:00:00.000Z,SN68863:0
494,2020-12-01T00:00:00.000Z,SN53010:0
495,2020-12-01T00:00:00.000Z,SN85470:0
496,2020-12-01T00:00:00.000Z,SN50480:0
497,2020-12-01T00:00:00.000Z,SN91490:0
498,2020-12-01T00:00:00.000Z,SN49080:0
499,2020-12-01T00:00:00.000Z,SN16611:0
500,2020-12-01T00:00:00.000Z,SN18235:0
501,2020-12-01T00:00:00.000Z,SN1960:0
502,2020-12-01T00:00:00.000Z,SN58070:0
503,2020-12-01T00:00:00.000Z,SN51440:0
504,2020-12-01T00:00:00.000Z,SN50040:0
505,2020-12-01T00:00:00.000Z,SN84770:0
506,2020-12-01T00:00:00.000Z,SN57810:0
507,2020-12-01T00:00:00.000Z,SN65310:0
508,2020-12-01T00:00:00.000Z,SN52310:0
509,2020-12-01T00:00:00.000Z,SN47232:0
510,2020-12-01T00:00:00.000Z,SN40880:0
511,2020-12-01T00:00:00.000Z,SN32850:0
