,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
474,2021-04-04,NO5,46683105.337,7742110.0
475,2021-04-05,NO1,99943106.021,30819366.0
476,2021-04-05,NO2,115962942.694,19062460.0
477,2021-04-05,NO3,78128768.015,12475252.0
478,2021-04-05,NO4,49206341.438,7938872.0
479,2021-04-05,NO5,49574897.019,7742114.0
480,2021-04-06,NO1,105567956.469,30821520.0
481,2021-04-06,NO2,113673700.94,19063378.0
482,2021-04-06,NO3,81551893.65,12475592.0
483,2021-04-06,NO4,51723368.388,7938958.0
484,2021-04-06,NO5,50563853.478,7742396.0
485,2021-04-07,NO1,103606254.98,30824262.0
486,2021-04-07,NO2,111315325.216,19064346.0
487,2021-04-07,NO3,81242000.555,12476036.0
488,2021-04-07,NO4,51780403.261,7938996.0
489,2021-04-07,NO5,49533592.543,7742372.0
490,2021-04-08,NO1,106414500.319,30825590.0
491,2021-04-08,NO2,113078992.674,19065176.0
492,2021-04-08,NO3,81484955.47,12477050.0
493,2021-04-08,NO4,51099843.86,7939700.0
494,2021-04-08,NO5,51348128.134,7742598.0
495,2021-04-09,NO1,100646388.178,30827862.0
496,2021-04-09,NO2,109540130.566,19066306.0
497,2021-04-09,NO3,81182610.699,12477064.0
498,2021-04-09,NO4,51231934.117,7940156.0
499,2021-04-09,NO5,49594681.755,7742658.0
500,2021-04-10,NO1,93708383.284,30827952.0
501,2021-04-10,NO2,103363749.21,19066146.0
502,2021-04-10,NO3,79359607.077,12476964.0
503,2021-04-10,NO4,49201497.442999996,7939846.0
504,2021-04-10,NO5,46116620.406,7742590.0
505,2021-04-11,NO1,96367794.638,30828288.0
506,2021-04-11,NO2,103438422.735,19066154.0
507,2021-04-11,NO3,74699617.39,12477016.0
508,2021-04-11,NO4,48506341.522,7939852.0
509,2021-04-11,NO5,44978405.542,7742582.0
510,2021-04-12,NO1,109860850.564,30829242.0
511,2021-04-12,NO2,108121240.413,19066984.0
512,2021-04-12,NO3,80646475.075,12479134.0
513,2021-04-12,NO4,51054009.007,7940198.0
514,2021-04-12,NO5,44362096.781,7742794.0
515,2021-04-13,NO1,105920066.932,30831150.0
516,2021-04-13,NO2,107398057.798,19067208.0
517,2021-04-13,NO3,81806486.146,12480188.0
518,2021-04-13,NO4,50376451.624,7940626.0
519,2021-04-13,NO5,44927688.660000004,7743504.0
520,2021-04-14,NO1,102388831.236,30832652.0
521,2021-04-14,NO2,106008424.391,19067782.0
522,2021-04-14,NO3,80402989.934,12480440.0
523,2021-04-14,NO4,51400212.175,7940734.0
524,2021-04-14,NO5,45119870.696,7744414.0
525,2021-04-15,NO1,96372463.238,30834036.0
526,2021-04-15,NO2,103920599.262,19068316.0
527,2021-04-15,NO3,79522374.929,12480870.0
528,2021-04-15,NO4,50312395.712,7940728.0
529,2021-04-15,NO5,44027034.138,7745854.0
530,2021-04-16,NO1,92868662.09,30835204.0
531,2021-04-16,NO2,102314017.131,19068598.0
532,2021-04-16,NO3,75141668.234,12481706.0
533,2021-04-16,NO4,48505885.781,7940890.0
534,2021-04-16,NO5,42616922.243,7747398.0
535,2021-04-17,NO1,81956729.099,30834998.0
536,2021-04-17,NO2,95364140.066,19068326.0
537,2021-04-17,NO3,72312272.258,12481462.0
538,2021-04-17,NO4,44661471.223,7940728.0
539,2021-04-17,NO5,40191044.318,7747198.0
540,2021-04-18,NO1,79568436.895,30835168.0
541,2021-04-18,NO2,91967264.361,19068590.0
542,2021-04-18,NO3,70173620.431,12481502.0
543,2021-04-18,NO4,42852655.881,7940680.0
544,2021-04-18,NO5,38852032.692,7747246.0
545,2021-04-19,NO1,84617079.696,30835570.0
546,2021-04-19,NO2,95155078.532,19069856.0
547,2021-04-19,NO3,72515188.481,12482224.0
