,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
297,2021-02-28,NO3,75017433.527,12461885.0,69809953.365,-5207480.1620000005
298,2021-02-28,NO4,47579903.297,7934019.0,50994581.151,3414677.854000002
299,2021-02-28,NO5,47016548.047,7724753.0,89166280.022,42149731.975
300,2021-03-01,NO1,115787357.576,30789834.0,55932496.869,-59854860.707
301,2021-03-01,NO2,111127754.1,19046435.0,192412898.816,81285144.71600002
302,2021-03-01,NO3,79782977.661,12461996.0,65263354.187,-14519623.474
303,2021-03-01,NO4,52051454.058,7934659.0,56765431.626,4713977.568000004
304,2021-03-01,NO5,49538358.81,7726275.0,109921201.891,60382843.081
305,2021-03-02,NO1,108836111.971,30790315.0,54286292.03,-54549819.941
306,2021-03-02,NO2,109548545.276,19047284.0,195719795.043,86171249.76700002
307,2021-03-02,NO3,79018465.05,12461906.0,64777524.805,-14240940.244999997
308,2021-03-02,NO4,52754075.276,7935102.0,74043786.356,21289711.080000006
309,2021-03-02,NO5,49023569.394,7726927.0,110480604.451,61457035.057000004
310,2021-03-03,NO1,117798648.137,30791868.0,56248884.691,-61549763.445999995
311,2021-03-03,NO2,113567210.652,19048328.0,208337129.894,94769919.242
312,2021-03-03,NO3,81047522.376,12462007.0,68771857.247,-12275665.129000008
313,2021-03-03,NO4,54236779.929,7935256.0,66675736.123,12438956.194000006
314,2021-03-03,NO5,49914601.063,7727653.0,115646490.695,65731889.63199999
315,2021-03-04,NO1,119912642.083,30792188.0,57801593.052,-62111049.031
316,2021-03-04,NO2,114063351.466,19049115.0,205790947.393,91727595.927
317,2021-03-04,NO3,85932022.194,12463304.0,56491097.111,-29440925.083000004
318,2021-03-04,NO4,54727230.407,7935638.0,75584055.921,20856825.514000006
319,2021-03-04,NO5,51610120.432,7727980.0,111365272.341,59755151.90900001
320,2021-03-05,NO1,120453959.842,30793209.0,56294226.832,-64159733.00999999
321,2021-03-05,NO2,115419815.643,19050277.0,212360143.868,96940328.225
322,2021-03-05,NO3,85332958.283,12464024.0,66960031.142,-18372927.14100001
323,2021-03-05,NO4,55273950.059,7935949.0,80598356.143,25324406.084000006
324,2021-03-05,NO5,52045011.484,7728628.0,111175981.775,59130970.29100001
325,2021-03-06,NO1,112971875.056,30793416.0,51439051.14,-61532823.91599999
326,2021-03-06,NO2,109854240.572,19050016.0,169879848.583,60025608.01100001
327,2021-03-06,NO3,81817608.859,12463654.0,69718334.366,-12099274.493
328,2021-03-06,NO4,53685482.643,7935694.0,53510601.402,-174881.24099999666
329,2021-03-06,NO5,49731876.837,7728719.0,74883915.782,25152038.945000008
330,2021-03-07,NO1,111523391.126,30793475.0,50947185.767,-60576205.359000005
331,2021-03-07,NO2,108228259.393,19049867.0,165292429.349,57064169.956
332,2021-03-07,NO3,81467094.08,12463628.0,44581076.168,-36886017.912
333,2021-03-07,NO4,53103210.8,7935674.0,52910468.76,-192742.0399999991
334,2021-03-07,NO5,49781468.165,7728707.0,79796752.589,30015284.424000002
335,2021-03-08,NO1,124958792.29,30794945.0,56159078.66,-68799713.63000001
336,2021-03-08,NO2,116158750.902,19050709.0,209336434.87,93177683.96800001
337,2021-03-08,NO3,87496399.055,12464122.0,71909594.277,-15586804.778000012
338,2021-03-08,NO4,56493980.859,7936288.0,84139246.997,27645266.137999997
339,2021-03-08,NO5,52455270.894,7728982.0,122594150.688,70138879.794
340,2021-03-09,NO1,118585758.047,30797028.0,56045862.371,-62539895.67600001
341,2021-03-09,NO2,116010854.678,19051602.0,207889907.2,91879052.52199998
342,2021-03-09,NO3,84017210.382,12464947.0,64072121.717,-19945088.665
343,2021-03-09,NO4,57468832.406,7936661.0,95890625.102,38421792.695999995
344,2021-03-09,NO5,50928712.455,7729502.0,118586662.029,67657949.574
345,2021-03-10,NO1,130686999.167,30797429.0,50992144.005,-79694855.162
346,2021-03-10,NO2,120463505.866,19052575.0,202650928.018,82187422.15200001
347,2021-03-10,NO3,85862706.197,12465956.0,77087595.275,-8775110.921999991
348,2021-03-10,NO4,57661341.802,7936781.0,77526013.304,19864671.502000004
